Segment	Phoneme	Notes
ɴ	ɴ	NA
ɲ	ɲ	NA
ɲ̊	ɲ̊	NA
ɲ̟	ɲ̟	NA
ɲ̥	ɲ̥	NA
ɲː	ɲː	NA
ɳ	ɳ	NA
ɳʱ	ɳʱ	NA
ŋ	ŋ	NA
ŋ̊	ŋ̊	NA
ŋ̟	ŋ̟	NA
ŋ̩	ŋ̩	NA
ŋ̥	ŋ̥	NA
ŋː	ŋː	NA
ŋʰ	ŋʰ	NA
ŋʱ	ŋʱ	NA
ŋʲ	ŋʲ	NA
ŋʲː	ŋːʲ	NA
ŋʷ	ŋʷ	NA
o	o	NA
ŏ	ŏ	NA
õ	õ	NA
ø	ø	NA
ø̃	ø̃	NA
ø̞	ø̞	NA
ø̠̞	ø̞̠	NA
ø̞̜	ø̞̜	NA
ø̤	ø̤	NA
ø̰	ø̰	NA
o̞	o̞	NA
õ̞	õ̞	NA
o̞̙	o̙̞	NA
o̞̜	o̞̜	NA
o̤	o̤	NA
o̰	o̰	NA
oː	oː	NA
õː	õː	NA
øː	øː	NA
ø̃ː	ø̃ː	NA
ø̞ː	ø̞ː	NA
ø̞̜ː	ø̞̜ː	NA
o̞ː	o̞ː	NA
o̞̜ː	o̞̜ː	NA
o̤ː	o̤ː	NA
oːu̯	oːu̯	NA
øːy̯	øːy̯	NA
oˑ	oˑ	NA
øˑ	øˑ	NA
o̟ˑ	o̟ˑ	NA
oa	oa	NA
oä	oä	NA
õã	õã	NA
o̞ä	o̞ä	NA
o̯ä	o̯ä	NA
oe	oe	NA
œ	œ	NA
œ̃	œ̃	NA
œ̞	œ̞	NA
œ̠	œ̠	NA
œ̜	œ̜	NA
œː	œː	NA
œ̃ː	œ̃ː	NA
œ̠ː	œ̠ː	NA
œ̞ː	œ̞ː	NA
œ̜ː	œ̜ː	NA
œ̰ː	œ̰ː	NA
œ̃ɛ̃	œ̃ɛ̃	NA
œ̞ɛ̞	œ̞ɛ̞	new segment type added; TODO: investigate
œi	œi	NA
œj	œi̯	conventionalized
œy	œy	NA
oə	oə	NA
øə	øə	NA
oi	oi	NA
oi̯	oi̯	NA
o̞i̯	o̞i̯	NA
øɪ̯	øɪ̯	NA
oj	oi̯	conventionalized
õj	õi̯	conventionalized
oɔ	oɔ	NA
ou	ou	NA
ou̯	ou̯	NA
øu	øu	NA
oʊ	oʊ	NA
oʊ̃	oʊ̃	NA
ow	ou̯	conventionalized
øy	øy	NA
øy̯	øy̯	NA
oˤ	oˤ	NA
oˤː	oːˤ	NA
ɶ	ɶ	NA
ɶː	ɶː	NA
ɔ	ɔ	NA
ɔ̃	ɔ̃	NA
ɔ̝	ɔ̝	NA
ɔ̞	ɔ̞	NA
ɔ̜	ɔ̜	NA
ɔ̞̃	ɔ̞̃	NA
ɔ̟̜	ɔ̟̜	NA
ɔ̟̜̰	ɔ̰̟̜	NA
ɔ̤	ɔ̤	NA
ɔ̰	ɔ̰	NA
ɔː	ɔː	NA
ɔː̃	ɔ̃ː	NA
ɔ̃ː	ɔ̃ː	NA
ɔ̟̜̃ː	ɔ̟̜̃ː	NA
ɔ̤̃ː	ɔ̤̃ː	NA
ɔ̞ː	ɔ̞ː	NA
ɔ̜ː	ɔ̜ː	NA
ɔ̞̃ː	ɔ̞̃ː	NA
ɔ̜̃ː	ɔ̜̃ː	NA
