InventoryID	LanguageCode	LanguageName	Phoneme	PhonemeOld	Allophones	AllophonesOld	Notes	NotesTwo
	bss	Akɔɔse (Bakossi)	ɤː	ɤː				added from Hedinger 2008, no short counterpart
	bss	Akɔɔse (Bakossi)	ɒː	ɒː				added from Hedinger 2008, no short counterpart

657	anc	Angas	˦	˦
	anc	Angas	˨	˨
	anc	Angas	ʃ	ʃ
	anc	Angas	˧	˧
	anc	Angas	ʒ	ʒ
	anc	Angas	ʔ	ʔ	[ʔ]	[ʔ]		only occurs word initially, voiced velar implosive is result of palatalized glottal stop (Burquest 1973)
	anc	Angas	ʔ	ʔ	[wˀ]	[ʔʷ]		only occurs word initially, voiced velar implosive is result of palatalized glottal stop (Burquest 1973)
	anc	Angas	ʔ	ʔ	[ɠ]	[ɠ]		only occurs word initially, voiced velar implosive is result of palatalized glottal stop (Burquest 1973)
	anc	Angas	d̠ʒ	ʤ
	anc	Angas	t̠ʃ	ʧ
	anc	Angas	ɨ	ɨ				Burquest 1971
	anc	Angas	ŋ	ŋ	[ŋ]	[ŋ]		ŋ̯y appears in Hartell; Burquest 1971 looks like an allophone of ŋ
	anc	Angas	ŋ	ŋ	[ŋʲ]	[ŋʲ]		ŋ̯y appears in Hartell; Burquest 1971 looks like an allophone of ŋ
	anc	Angas	ɓ	ɓ	[ɓ]	[ɓ]
	anc	Angas	ɓ	ɓ	[mɓ]	[mɓ]
	anc	Angas	ɓ	ɓ	[bʷ]	[bʷ]
	anc	Angas	ɗ	ɗ	[ɗ]	[ɗ]
	anc	Angas	ɗ	ɗ	[nɗ]	[nɗ]
	anc	Angas	ɗ	ɗ	[ɗʷ]	[ɗʷ]
	anc	Angas	ɛ	ɛ
	anc	Angas	a	a
	anc	Angas	ɣ	ɣ
	anc	Angas	b	b	[b]	[b]
	anc	Angas	b	b	[mb]	[mb]
	anc	Angas	b	b	[bʷ]	[bʷ]
	anc	Angas	b	b	[bʲ]	[bʲ]
	anc	Angas	e	e
	anc	Angas	d	d	[d]	[d]
	anc	Angas	d	d	[nd]	[nd]
	anc	Angas	d	d	[dʷ]	[dʷ]
	anc	Angas	d	d	[dʲ]	[dʲ]
	anc	Angas	ɡ	ɡ	[ɡ]	[ɡ]	unclear if ɡ̌y is an allophone of /g/ or separate phoneme.  What sound is it meant to represent?	not apparent from Burquest 1971 what [ɡ̌y] is from Hartell 1993, this is addressed above for palatal glottal stop
	anc	Angas	ɡ	ɡ	[ŋɡ]	[ŋɡ]	unclear if ɡ̌y is an allophone of /g/ or separate phoneme.  What sound is it meant to represent?	not apparent from Burquest 1971 what [ɡ̌y] is from Hartell 1993, this is addressed above for palatal glottal stop
	anc	Angas	ɡ	ɡ	[ɡʷ]	[ɡʷ]	unclear if ɡ̌y is an allophone of /g/ or separate phoneme.  What sound is it meant to represent?	not apparent from Burquest 1971 what [ɡ̌y] is from Hartell 1993, this is addressed above for palatal glottal stop
	anc	Angas	f	f	[f]	[f]
	anc	Angas	f	f	[fʷ]	[fʷ]
	anc	Angas	i	i
	anc	Angas	h	h
	anc	Angas	k	k	[k]	[k]
	anc	Angas	k	k	[ŋk]	[ŋk]
	anc	Angas	k	k	[kʷ]	[kʷ]
	anc	Angas	k	k	[kʲ]	[kʲ]
	anc	Angas	m	m	[m]	[m]
	anc	Angas	m	m	[mʷ]	[mʷ]
	anc	Angas	m	m	[mʲ]	[mʲ]
	anc	Angas	l	l
	anc	Angas	o	o
	anc	Angas	n	n	[n]	[n]
	anc	Angas	n	n	[nʷ]	[nʷ]
	anc	Angas	p	p	[p]	[p]
	anc	Angas	p	p	[pʷ]	[pʷ]
	anc	Angas	p	p	[pʲ]	[pʲ]
	anc	Angas	s	s	[s]	[s]
	anc	Angas	s	s	[ns]	[ns]
	anc	Angas	s	s	[sʷ]	[sʷ]
	anc	Angas	s	s	[sʲ]	[sʲ]
	anc	Angas	r	r	[r]	[r]
	anc	Angas	r	r	[rʷ]	[rʷ]
	anc	Angas	u	u
	anc	Angas	t	t	[t]	[t]
	anc	Angas	t	t	[tʷ]	[tʷ]
	anc	Angas	t	t	[tʲ]	[tʲ]
	anc	Angas	v	v	[v]	[v]
	anc	Angas	v	v	[vʷ]	[vʷ]
	anc	Angas	z	z	[z]	[z]
	anc	Angas	z	z	[nz]	[nz]
	anc	Angas	z	z	[zʷ]	[zʷ]
	anc	Angas	z	z	[zʲ]	[zʲ]
	anc	Angas	ɨ	ɨ				Burquest 1971
	anc	Angas	ɨː	ɨː
	anc	Angas	aː	aː

658	cko	Anufɔ	˦	˦
	cko	Anufɔ	˨	˨
	cko	Anufɔ	ɡb	ɡb
	cko	Anufɔ	d̠ʒ	ʤ				ɟ in Stanford 1970
	cko	Anufɔ	t̠ʃ	ʧ				c in Stanford 1970
	cko	Anufɔ	kp	kp
	cko	Anufɔ	ŋ	ŋ
	cko	Anufɔ	ŋm	ŋm
	cko	Anufɔ	ɔ	ɔ
	cko	Anufɔ	ɛ	ɛ
	cko	Anufɔ	a	a
	cko	Anufɔ	ʃ	ʃ
	cko	Anufɔ	b	b
	cko	Anufɔ	e	e
	cko	Anufɔ	d	d
	cko	Anufɔ	ɡ	ɡ
	cko	Anufɔ	f	f	[f]	[f]		allophones confirmed in Smye 2004
	cko	Anufɔ	f	f	[v]	[v]		allophones confirmed in Smye 2004
	cko	Anufɔ	i	i
	cko	Anufɔ	h	h
	cko	Anufɔ	k	k
	cko	Anufɔ	j	j
	cko	Anufɔ	m	m
	cko	Anufɔ	l	l	[l]	[l]		allophones confirmed in Smye 2004
	cko	Anufɔ	l	l	[r]	[r]		allophones confirmed in Smye 2004
	cko	Anufɔ	o	o
	cko	Anufɔ	n	n	[n]	[n]
	cko	Anufɔ	n	n	[ɲ]	[ɲ]
	cko	Anufɔ	p	p
	cko	Anufɔ	s	s	[s]	[s]		Smye 2004
	cko	Anufɔ	s	s	[z]	[z]		Smye 2004
	cko	Anufɔ	s	s	[ʃ]	[ʃ]		Smye 2004
	cko	Anufɔ	s	s	[ʒ]	[ʒ]		Smye 2004
	cko	Anufɔ	ɲ	ɲ
	cko	Anufɔ	u	u
	cko	Anufɔ	t	t
	cko	Anufɔ	w	w
	cko	Anufɔ	iː	iː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
	cko	Anufɔ	eː	eː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
	cko	Anufɔ	ɛː	ɛː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
	cko	Anufɔ	uː	uː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
	cko	Anufɔ	oː	oː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
	cko	Anufɔ	ɔː	ɔː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
	cko	Anufɔ	aː	aː			all vowels have a phonemic long counterpart	long vowels not described in Smye 2004
	cko	Anufɔ	ĩ	ĩ
	cko	Anufɔ	ɛ̃	ɛ̃
	cko	Anufɔ	ũ	ũ
	cko	Anufɔ	ɔ̃	ɔ̃
	cko	Anufɔ	ã	ã

659	apd	Arabe	ʃ	ʃ
	apd	Arabe	zˤ	zˤ
	apd	Arabe	ʕ	ʕ
	apd	Arabe	ʔ	ʔ
	apd	Arabe	d̠ʒ	ʤ
	apd	Arabe	ħ	ħ
