InventoryID	LanguageCode	Glottocode	BibtexKey	Source
261	brh	brah1256	Emeneau1962	upsid
262	brv	west2397	Thongkum1979	upsid
263	brx	bodo1269	Bhat1968	upsid
264	bsk	buru1296	Morgenstierne1945	upsid
265	bul	bulg1262	Aronson1968	upsid
265	bul	bulg1262	Bidwell1968	upsid
265	bul	bulg1262	Klagstad1958	upsid
265	bul	bulg1262	Scatton1984	upsid
266	bvr	bura1267	GlasgowGlasgow1967	upsid
267	byx	qaqe1238	ParkerParker1974	upsid
268	bzd	brib1243	Arroyo1972	upsid
269	cad	cadd1256	Chafe1976	upsid
270	cag	niva1238	Stell1972	upsid
271	caq	carn1240	Das1977	upsid
272	car	gali1262	Hoff1968	upsid
272	car	gali1262	Peasgood1972	upsid
273	cbi	chac1249	LindskoogBrend1962	upsid
274	cbn	nyah1250	Diffloth1984	upsid
274	cbn	nyah1250	Thongkum1984	upsid
275	cbv	cacu1241	Anderton1989	upsid
275	cbv	cacu1241	Cathcart1979	upsid
276	cdo	mind1253	Jiahua1960	upsid
277	cha	cham1312	Costenoble1940	upsid
277	cha	cham1312	Seiden1960	upsid
277	cha	cham1312	Topping1969	upsid
277	cha	cham1312	Topping1973	upsid
278	chp	chip1261	Li1932	upsid
278	chp	chip1261	Li1933	upsid
278	chp	chip1261	Li1946	upsid
279	chq	quio1240	Robbins1968	upsid
279	chq	quio1240	Robbins1975	upsid
279	chq	quio1240	Robbins1961	upsid
280	chr	cher1273	BenderBender1946	upsid
280	chr	cher1273	Walker1975	upsid
280	chr	cher1273	Cook1979	upsid
281	chv	chuv1255	Kruger1961	upsid
282	cja	west2650	Blood1967	upsid
283	cjh	uppe1439	Kinkade1963	upsid
284	cjv	chua1250	Thurman1970	upsid
285	ckt	chuk1273	Skorik1961	upsid
285	ckt	chuk1273	Skorik1968	upsid
286	cmn	mand1415	Chao1968	upsid
286	cmn	mand1415	Cheng1973b	upsid
286	cmn	mand1415	Dow1972	upsid
286	cmn	mand1415	Jiahua1960	upsid
286	cmn	mand1415	Karlgren1926	upsid
286	cmn	mand1415	Hanyu1960	upsid
287	cnh	haka1240	Liang1984	upsid
287	cnh	haka1240	Liang1984b	upsid
287	cnh	haka1240	OuyangZheng1980	upsid
287	cnh	haka1240	OuyangZheng1963	upsid
288	cni	asha1243	Dirks1953	upsid
288	cni	asha1243	Payne1981	upsid
289	con	cofa1242	Borman1962	upsid
290	cou	wame1240	Santos1977	upsid
291	cqd	chua1256	Wang1985	upsid
291	cqd	chua1256	Wang1983	upsid
291	cqd	chua1256	Purnell1972	upsid
292	crb	isla1278	Taylor1955	upsid
293	ctd	tedi1235	Henderson1965	upsid
294	ctp	west2644	Pride1965	upsid
295	cub	cube1242	Salser1971	upsid
296	cyb	cayu1262	Key1961	upsid
297	daa	dang1274	Fedry1977	upsid
298	lda	dann1241	BearthZemp1967	upsid
299	dag	dagb1246	WilsonBendor-Samuel1969	upsid
300	daj	darf1239	Thelwall1981	upsid
300	daj	darf1239	TuckerBryan1966	upsid
301	dal	daha1245	Tucker_etal1977	upsid
301	dal	daha1245	Nurse1986	upsid
302	njz	nisi1239	Ray1967	upsid
303	dbl	dyir1250	Dixon1972	upsid
304	deu	stan1295	Moulton1962	upsid
304	deu	stan1295	Wangler1972	upsid
305	dif	dier1241	Austin1981	upsid
306	dih	kumi1248	Langdon1970	upsid
307	dip	nort2815	Andersen1987	upsid
307	dip	nort2815	Malou1988	upsid
308	dni	lowe1415	Bromley1961	upsid
308	dni	lowe1415	vanderStap1966	upsid
309	doc	nort2735	GuoqiaoYang1988	upsid
310	dow	doya1240	Wiering1974	upsid
311	dru	ruka1240	Li1973	upsid
311	dru	ruka1240	Li1977-dru	upsid
312	dta	daur1238	Anonymous1982	upsid
313	dts	toro1252	Bendor-Samuel_etal1989	upsid
313	dts	toro1252	Morphy1983	upsid
314	duj	dhuw1249	RoseMorphy1982	upsid
315	dyo	jola1263	Sapir1965	upsid
316	efi	efik1245	Cook1969b	upsid
317	ekg	ekar1243	Doble1962	upsid
317	ekg	ekar1243	Doble1987	upsid
317	ekg	ekar1243	Steltenpool1969	upsid
318	ell	mode1248	Householder_etal1964	upsid
318	ell	mode1248	Newton1972	upsid
318	ell	mode1248	Pring1967	upsid
319	ess	cent2128	Krauss1975	upsid
