"InventoryID","ISO6393","Glottocode","LanguageName","Source"
469,"mqs","west2600","WEST MAKIAN","upsid"
470,"mrt","marg1265","MARGI","upsid"
471,"mrw","mara1404","MARANAO","upsid"
472,"mto","toto1305","MIXE","upsid"
473,"mur","murl1244","MURSI","upsid"
474,"mwf","murr1258","MURINHPATHA","upsid"
475,"mwp","kala1377","KALA LAGAW YA","upsid"
476,"mya","nucl1310","BURMESE","upsid"
477,"myp","pira1253","PIRAHA","upsid"
478,"mzm","nucl1240","MUMUYE","upsid"
479,"mzp","movi1243","MOVIMA","upsid"
480,"nab","sout2994","SOUTHERN NAMBIQUARA","upsid"
481,"nan","minn1241","XIAMEN","upsid"
482,"naq","nama1264","NAMA","upsid"
483,"nas","naas1242","NASIOI","upsid"
484,"nav","nava1243","NAVAJO","upsid"
485,"nxq","naxi1245","NAXI","upsid"
486,"ncj","nort2957","NAHUATL","upsid"
487,"ndv","ndut1239","NDUT","upsid"
488,"nep","east1436","NEPALI","upsid"
489,"new","newa1246","NEWARI","upsid"
490,"nez","nezp1238","NEZ PERCE","upsid"
491,"ngi","ngiz1242","NGIZIM","upsid"
492,"nhu","noon1243","NONI","upsid"
493,"nie","niel1243","LUA","upsid"
494,"nio","ngan1291","NGANASAN","upsid"
495,"nir","nucl1633","NIMBORAN","upsid"
496,"niv","gily1242","NIVKH","upsid"
497,"njo","aona1235","AO","upsid"
498,"nmu","nort2952","MAIDU","upsid"
499,"nob","norw1259","NORWEGIAN","upsid"
500,"nuk","nuuc1236","TSESHAHT","upsid"
501,"nrb","nara1262","NERA","upsid"
502,"nut","nung1283","LUNGCHOW","upsid"
503,"nuy","nung1290","NUNGGUBUYU","upsid"
504,"nyi","amas1236","NYIMANG","upsid"
505,"nyp","nyan1313","NYANGI","upsid"
506,"oca","ocai1244","OCAINA","upsid"
507,"ogb","ogbi1239","OGBIA","upsid"
508,"ojg","east2542","OJIBWA","upsid"
509,"ood","toho1245","PAPAGO","upsid"
510,"oru","ormu1247","ORMURI","upsid"
511,"pac","paco1243","PACOH","upsid"
